Class,Feature,Mean,Std,Min,Max,Q1,Median,Q3
setosa,Sepal.Length,5.006,0.35248968721345136,4.3,5.8,4.8,5.0,5.2
setosa,Sepal.Width,3.428,0.3790643690962887,2.3,4.4,3.2,3.4,3.6750000000000003
setosa,Petal.Length,1.4620000000000002,0.17366399648018407,1.0,1.9,1.4,1.5,1.5750000000000002
setosa,Petal.Width,0.24599999999999997,0.10538558938004565,0.1,0.6,0.2,0.2,0.3
versicolor,Sepal.Length,5.936,0.5161711470638634,4.9,7.0,5.6,5.9,6.3
versicolor,Sepal.Width,2.7700000000000005,0.3137983233784114,2.0,3.4,2.525,2.8,3.0
versicolor,Petal.Length,4.26,0.46991097723995795,3.0,5.1,4.0,4.35,4.6
versicolor,Petal.Width,1.3259999999999998,0.19775268000454405,1.0,1.8,1.2,1.3,1.5
virginica,Sepal.Length,6.587999999999998,0.6358795932744322,4.9,7.9,6.225,6.5,6.9
virginica,Sepal.Width,2.974,0.32249663817263746,2.2,3.8,2.8,3.0,3.1750000000000003
virginica,Petal.Length,5.5520000000000005,0.5518946956639834,4.5,6.9,5.1,5.55,5.875
virginica,Petal.Width,2.0260000000000002,0.2746500556366674,1.4,2.5,1.8,2.0,2.3
